,id,keyword,location,text,target,text_cleaned
0,0,ablaze,,"Communal violence in Bhainsa, Telangana. ""Stones were pelted on Muslims' houses and some houses and vehicles were set ablaze…",1,communal violence bhainsa telangana stones pelted muslims houses houses vehicles set
1,1,ablaze,,"Telangana: Section 144 has been imposed in Bhainsa from January 13 to 15, after clash erupted between two groups on January 12. Po…",1,telangana section imposed bhainsa january clash erupted two groups january
2,2,ablaze,New York City,Arsonist sets cars ablaze at dealership https://t.co/gOQvyJbpVI,1,arsonist sets cars ablaze dealership
3,3,ablaze,"Morgantown, WV",Arsonist sets cars ablaze at dealership https://t.co/0gL7NUCPlb https://t.co/u1CcBhOWh9,1,arsonist sets cars ablaze dealership
4,4,ablaze,,"""Lord Jesus, your love brings freedom and pardon. Fill me with your Holy Spirit and set my heart ablaze with your l… https://t.co/VlTznnPNi8",0,lord jesus love brings freedom pardon fill holy spirit set heart ablaze
5,5,ablaze,OC,"If this child was Chinese, this tweet would have gone viral. Social media would be ablaze. SNL would have made a racist j…",0,child chinese tweet would gone viral social media would ablaze snl would made racist
6,6,ablaze,"London, England","Several houses have been set ablaze in Ngemsibaa village, Oku sub division in the North West Region of Cameroon by… https://t.co/99uHGAzxy2",1,several houses set ablaze ngemsibaa village oku sub division north west region cameroon
7,7,ablaze,Bharat,Asansol: A BJP office in Salanpur village was set ablaze last night. BJP has alleged that TMC is behind the incident. Police has b…,1,asansol bjp office salanpur village set ablaze last night bjp alleged tmc behind incident police
8,8,ablaze,"Accra, Ghana","National Security Minister, Kan Dapaah's side chic has set the internet ablaze with her latest powerful video.… https://t.co/rhzOMQVSlj",0,national security minister kan dapaahs side chic set internet ablaze latest powerful
9,9,ablaze,Searching,This creature who’s soul is no longer clarent but blue ablaze This thing Carrying memories Memories of… https://t.co/tBKSNDrDoX,0,creature whos soul longer clarent blue ablaze thing carrying memories memories
10,10,ablaze,,Images showing the havoc caused by the #Cameroon military as they torched houses in #Oku.The shameless military is reported…,1,images showing havoc caused cameroon military torched houses okuthe shameless military
11,11,ablaze,,Social media went bananas after Chuba Hubbard announced Monday evening his plans to return to #okstate. https://t.co/peN…,0,social media went bananas chuba hubbard announced monday evening plans return okstate
12,12,ablaze,,Hausa youths set Area Office of Apapa-Iganmu Local Council Development Area ablaze. Okada Riders stormed the LG area office…,1,hausa youths set area office apapaiganmu local council development area ablaze okada riders stormed lg area
13,13,ablaze,HYDERABAD,Under #MamataBanerjee political violence &amp; vandalism continues to unabated in West Bengal! office in Asanol was…,1,mamatabanerjee political violence amp vandalism continues unabated west bengal office asanol
